text,label
"We have received a request to terminate your account. To cancel this request, click the link below.",1
Please find the attached invoice for your records.,0
The project deadline has been extended to next Tuesday. Please adjust your schedules accordingly.,0
You have won a $1000 Walmart gift card! Click the link to claim your prize now. Limited time offer!,1
The project deadline has been extended to next Friday. Please adjust your schedules accordingly.,0
Please find the attached invoice for your records.,0
"Hi Sarah, just a reminder that our weekly meeting is at 1 PM tomorrow. Please review the attached agenda. Best, Diana.",0
Looking forward to the conference next Thursday.,0
I've reviewed your pull request and left some comments. Please address them before we merge.,0
I've reviewed your pull request and left some comments. Please address them before we merge.,0
Can we reschedule our meeting to Friday at 3:30 PM?,0
The project deadline has been extended to next Wednesday. Please adjust your schedules accordingly.,0
"We have received a request to terminate your account. To cancel this request, click the link below.",1
"Hi Emily, just a reminder that our weekly meeting is at 1 PM tomorrow. Please review the attached agenda. Best, Charlie.",0
The project deadline has been extended to next Tuesday. Please adjust your schedules accordingly.,0
URGENT: Your bank account will be suspended in 24 hours. Verify your information immediately at http://secure-update-bank.com/login.,1
URGENT ACTION REQUIRED: Verify your email address to prevent account deletion.,1
Your Amazon order has been shipped. Track your package here: https://amazon.com/track/X9Y8Z.,0
Happy birthday! Hope you have a great day.,0
Happy birthday! Hope you have a great day.,0
Update your password immediately! Your account has been compromised. Visit http://reset-password-now.com to secure your account.,1
Let's grab lunch later today. Are you free around 12 PM?,0
You have an unread secure message. Click here to read it: http://secure-message-portal.com,1
"Hi John, just a reminder that our weekly meeting is at 12 PM tomorrow. Please review the attached agenda. Best, Diana.",0
"We have received a request to terminate your account. To cancel this request, click the link below.",1
Are we still on for the call at 10 AM?,0
I've reviewed your pull request and left some comments. Please address them before we merge.,0
Can you please send me the latest quarterly report when you have a chance? Thanks!,0
"Please review the attached invoice for your recent purchase of $599.99. If you did not authorize this, contact us immediately.",1
"Dear Customer, your Apple ID has been locked for security reasons. Click here to unlock: http://apple-support-verify.com.",1
Here are the meeting notes from yesterday's sync.,0
Update your password immediately! Your account has been compromised. Visit http://reset-password-now.com to secure your account.,1
The project deadline has been extended to next Thursday. Please adjust your schedules accordingly.,0
Let's grab lunch later today. Are you free around 1 PM?,0
You have an unread secure message. Click here to read it: http://secure-message-portal.com,1
Happy birthday! Hope you have a great day.,0
Are we still on for the call at 12 PM?,0
Invoice #49281 attached. Please pay immediately to avoid late fees.,1
Thanks for reaching out. I'll get back to you as soon as possible.,0
Looking forward to the conference next Friday.,0
Let's grab lunch later today. Are you free around 9 AM?,0
I've reviewed your pull request and left some comments. Please address them before we merge.,0
URGENT ACTION REQUIRED: Verify your email address to prevent account deletion.,1
The project deadline has been extended to next Thursday. Please adjust your schedules accordingly.,0
Looking forward to the conference next Tuesday.,0
The project deadline has been extended to next Friday. Please adjust your schedules accordingly.,0
Looking forward to the conference next Tuesday.,0
We noticed suspicious login attempts on your account. Please confirm your identity by clicking this link.,1
"Dear Customer, your Apple ID has been locked for security reasons. Click here to unlock: http://apple-support-verify.com.",1
Thanks for reaching out. I'll get back to you as soon as possible.,0
"We have received a request to terminate your account. To cancel this request, click the link below.",1
Act now! Exclusive investment opportunity with 500% returns in 1 week. Send funds to the provided crypto wallet.,1
Update your password immediately! Your account has been compromised. Visit http://reset-password-now.com to secure your account.,1
Invoice #49281 attached. Please pay immediately to avoid late fees.,1
Looking forward to the conference next Monday.,0
Invoice #49281 attached. Please pay immediately to avoid late fees.,1
Update your password immediately! Your account has been compromised. Visit http://reset-password-now.com to secure your account.,1
We noticed suspicious login attempts on your account. Please confirm your identity by clicking this link.,1
You have an unread secure message. Click here to read it: http://secure-message-portal.com,1
Please find the attached invoice for your records.,0
The server maintenance will happen this Monday. Please save your work.,0
You have won a $1000 Walmart gift card! Click the link to claim your prize now. Limited time offer!,1
Your Microsoft 365 password expires today. Retain your current password by verifying here: http://login-microsoft-secure.com,1
Invoice #49281 attached. Please pay immediately to avoid late fees.,1
Thanks for reaching out. I'll get back to you as soon as possible.,0
"Hi Emily, just a reminder that our weekly meeting is at 12 PM tomorrow. Please review the attached agenda. Best, Diana.",0
Let's grab lunch later today. Are you free around 10 AM?,0
You have an unread secure message. Click here to read it: http://secure-message-portal.com,1
The server maintenance will happen this Tuesday. Please save your work.,0
URGENT ACTION REQUIRED: Verify your email address to prevent account deletion.,1
Act now! Exclusive investment opportunity with 500% returns in 1 week. Send funds to the provided crypto wallet.,1
"We have received a request to terminate your account. To cancel this request, click the link below.",1
Your Amazon order has been shipped. Track your package here: https://amazon.com/track/X9Y8Z.,0
I've reviewed your pull request and left some comments. Please address them before we merge.,0
"Please review the attached invoice for your recent purchase of $599.99. If you did not authorize this, contact us immediately.",1
Are we still on for the call at 1 PM?,0
Act now! Exclusive investment opportunity with 500% returns in 1 week. Send funds to the provided crypto wallet.,1
Your Amazon order has been shipped. Track your package here: https://amazon.com/track/A1B2C.,0
"Dear Customer, your Apple ID has been locked for security reasons. Click here to unlock: http://apple-support-verify.com.",1
Here are the meeting notes from yesterday's sync.,0
Your Amazon order has been shipped. Track your package here: https://amazon.com/track/X9Y8Z.,0
Update your password immediately! Your account has been compromised. Visit http://reset-password-now.com to secure your account.,1
"Hi Jessica, just a reminder that our weekly meeting is at 1 PM tomorrow. Please review the attached agenda. Best, Diana.",0
The project deadline has been extended to next Thursday. Please adjust your schedules accordingly.,0
Let's grab lunch later today. Are you free around 9 AM?,0
Please find the attached invoice for your records.,0
You have won a $1000 Walmart gift card! Click the link to claim your prize now. Limited time offer!,1
Are we still on for the call at 1 PM?,0
Let's grab lunch later today. Are you free around 1 PM?,0
Congratulations! You've been selected for a free iPhone 15. Claim your prize here: http://free-iphone-winner.com,1
Let's grab lunch later today. Are you free around 3:30 PM?,0
Invoice #49281 attached. Please pay immediately to avoid late fees.,1
Your Microsoft 365 password expires today. Retain your current password by verifying here: http://login-microsoft-secure.com,1
Act now! Exclusive investment opportunity with 500% returns in 1 week. Send funds to the provided crypto wallet.,1
The server maintenance will happen this Tuesday. Please save your work.,0
Invoice #49281 attached. Please pay immediately to avoid late fees.,1
"We have received a request to terminate your account. To cancel this request, click the link below.",1
Are we still on for the call at 9 AM?,0
Update your password immediately! Your account has been compromised. Visit http://reset-password-now.com to secure your account.,1
Looking forward to the conference next Monday.,0
Your Amazon order has been shipped. Track your package here: https://amazon.com/track/A1B2C.,0
The project deadline has been extended to next Tuesday. Please adjust your schedules accordingly.,0
"Please review the attached invoice for your recent purchase of $599.99. If you did not authorize this, contact us immediately.",1
The project deadline has been extended to next Wednesday. Please adjust your schedules accordingly.,0
I've reviewed your pull request and left some comments. Please address them before we merge.,0
"We have received a request to terminate your account. To cancel this request, click the link below.",1
Your Microsoft 365 password expires today. Retain your current password by verifying here: http://login-microsoft-secure.com,1
Your package could not be delivered due to an unpaid shipping fee. Pay $1.99 here: http://post-office-pay.com,1
Invoice #49281 attached. Please pay immediately to avoid late fees.,1
Are we still on for the call at 3:30 PM?,0
Update your password immediately! Your account has been compromised. Visit http://reset-password-now.com to secure your account.,1
Act now! Exclusive investment opportunity with 500% returns in 1 week. Send funds to the provided crypto wallet.,1
Happy birthday! Hope you have a great day.,0
Thanks for reaching out. I'll get back to you as soon as possible.,0
We noticed suspicious login attempts on your account. Please confirm your identity by clicking this link.,1
Are we still on for the call at 9 AM?,0
Your Microsoft 365 password expires today. Retain your current password by verifying here: http://login-microsoft-secure.com,1
You have won a $1000 Walmart gift card! Click the link to claim your prize now. Limited time offer!,1
"Hi David, just a reminder that our weekly meeting is at 1 PM tomorrow. Please review the attached agenda. Best, Alice.",0
Act now! Exclusive investment opportunity with 500% returns in 1 week. Send funds to the provided crypto wallet.,1
Update your password immediately! Your account has been compromised. Visit http://reset-password-now.com to secure your account.,1
Happy birthday! Hope you have a great day.,0
"Hi Sarah, just a reminder that our weekly meeting is at 1 PM tomorrow. Please review the attached agenda. Best, Bob.",0
Thanks for reaching out. I'll get back to you as soon as possible.,0
Are we still on for the call at 9 AM?,0
Act now! Exclusive investment opportunity with 500% returns in 1 week. Send funds to the provided crypto wallet.,1
Please find the attached invoice for your records.,0
Can we reschedule our meeting to Tuesday at 12 PM?,0
Thanks for reaching out. I'll get back to you as soon as possible.,0
Can you please send me the latest quarterly report when you have a chance? Thanks!,0
Are we still on for the call at 9 AM?,0
"Dear Customer, your Apple ID has been locked for security reasons. Click here to unlock: http://apple-support-verify.com.",1
"Hi Jessica, just a reminder that our weekly meeting is at 9 AM tomorrow. Please review the attached agenda. Best, Diana.",0
URGENT ACTION REQUIRED: Verify your email address to prevent account deletion.,1
Update your password immediately! Your account has been compromised. Visit http://reset-password-now.com to secure your account.,1
We noticed suspicious login attempts on your account. Please confirm your identity by clicking this link.,1
Thanks for reaching out. I'll get back to you as soon as possible.,0
"We have received a request to terminate your account. To cancel this request, click the link below.",1
"Please review the attached invoice for your recent purchase of $599.99. If you did not authorize this, contact us immediately.",1
URGENT: Your bank account will be suspended in 24 hours. Verify your information immediately at http://secure-update-bank.com/login.,1
Invoice #49281 attached. Please pay immediately to avoid late fees.,1
Your Amazon order has been shipped. Track your package here: https://amazon.com/track/A1B2C.,0
Congratulations! You've been selected for a free iPhone 15. Claim your prize here: http://free-iphone-winner.com,1
Are we still on for the call at 9 AM?,0
Please find the attached invoice for your records.,0
The project deadline has been extended to next Thursday. Please adjust your schedules accordingly.,0
Let's grab lunch later today. Are you free around 1 PM?,0
I've reviewed your pull request and left some comments. Please address them before we merge.,0
URGENT: Your bank account will be suspended in 24 hours. Verify your information immediately at http://secure-update-bank.com/login.,1
You have an unread secure message. Click here to read it: http://secure-message-portal.com,1
Act now! Exclusive investment opportunity with 500% returns in 1 week. Send funds to the provided crypto wallet.,1
Let's grab lunch later today. Are you free around 3:30 PM?,0
Your Amazon order has been shipped. Track your package here: https://amazon.com/track/A1B2C.,0
Looking forward to the conference next Wednesday.,0
"Hi Jessica, just a reminder that our weekly meeting is at 9 AM tomorrow. Please review the attached agenda. Best, Charlie.",0
The server maintenance will happen this Friday. Please save your work.,0
The project deadline has been extended to next Wednesday. Please adjust your schedules accordingly.,0
URGENT: Your bank account will be suspended in 24 hours. Verify your information immediately at http://secure-update-bank.com/login.,1
URGENT ACTION REQUIRED: Verify your email address to prevent account deletion.,1
Looking forward to the conference next Monday.,0
The server maintenance will happen this Monday. Please save your work.,0
Thanks for reaching out. I'll get back to you as soon as possible.,0
Happy birthday! Hope you have a great day.,0
URGENT ACTION REQUIRED: Verify your email address to prevent account deletion.,1
"Hi Sarah, just a reminder that our weekly meeting is at 10 AM tomorrow. Please review the attached agenda. Best, Alice.",0
"We have received a request to terminate your account. To cancel this request, click the link below.",1
Looking forward to the conference next Thursday.,0
"Dear Customer, your Apple ID has been locked for security reasons. Click here to unlock: http://apple-support-verify.com.",1
Act now! Exclusive investment opportunity with 500% returns in 1 week. Send funds to the provided crypto wallet.,1
"Dear Customer, your Apple ID has been locked for security reasons. Click here to unlock: http://apple-support-verify.com.",1
"Please review the attached invoice for your recent purchase of $599.99. If you did not authorize this, contact us immediately.",1
Here are the meeting notes from yesterday's sync.,0
The project deadline has been extended to next Tuesday. Please adjust your schedules accordingly.,0
Can you please send me the latest quarterly report when you have a chance? Thanks!,0
You have an unread secure message. Click here to read it: http://secure-message-portal.com,1
"Dear Customer, your Apple ID has been locked for security reasons. Click here to unlock: http://apple-support-verify.com.",1
You have won a $1000 Walmart gift card! Click the link to claim your prize now. Limited time offer!,1
Update your password immediately! Your account has been compromised. Visit http://reset-password-now.com to secure your account.,1
Are we still on for the call at 10 AM?,0
Please find the attached invoice for your records.,0
URGENT: Your bank account will be suspended in 24 hours. Verify your information immediately at http://secure-update-bank.com/login.,1
You have an unread secure message. Click here to read it: http://secure-message-portal.com,1
We noticed suspicious login attempts on your account. Please confirm your identity by clicking this link.,1
Happy birthday! Hope you have a great day.,0
Your Amazon order has been shipped. Track your package here: https://amazon.com/track/98765.,0
"Please review the attached invoice for your recent purchase of $599.99. If you did not authorize this, contact us immediately.",1
Here are the meeting notes from yesterday's sync.,0
The server maintenance will happen this Thursday. Please save your work.,0
Please find the attached invoice for your records.,0
"Please review the attached invoice for your recent purchase of $599.99. If you did not authorize this, contact us immediately.",1
URGENT: Your bank account will be suspended in 24 hours. Verify your information immediately at http://secure-update-bank.com/login.,1
The project deadline has been extended to next Monday. Please adjust your schedules accordingly.,0
URGENT: Your bank account will be suspended in 24 hours. Verify your information immediately at http://secure-update-bank.com/login.,1
"Please review the attached invoice for your recent purchase of $599.99. If you did not authorize this, contact us immediately.",1
We noticed suspicious login attempts on your account. Please confirm your identity by clicking this link.,1
You have won a $1000 Walmart gift card! Click the link to claim your prize now. Limited time offer!,1
You have an unread secure message. Click here to read it: http://secure-message-portal.com,1
Can we reschedule our meeting to Tuesday at 9 AM?,0
You have won a $1000 Walmart gift card! Click the link to claim your prize now. Limited time offer!,1
Looking forward to the conference next Thursday.,0
Congratulations! You've been selected for a free iPhone 15. Claim your prize here: http://free-iphone-winner.com,1
The server maintenance will happen this Friday. Please save your work.,0
Act now! Exclusive investment opportunity with 500% returns in 1 week. Send funds to the provided crypto wallet.,1
Thanks for reaching out. I'll get back to you as soon as possible.,0
"We have received a request to terminate your account. To cancel this request, click the link below.",1
"We have received a request to terminate your account. To cancel this request, click the link below.",1
I've reviewed your pull request and left some comments. Please address them before we merge.,0
Your Microsoft 365 password expires today. Retain your current password by verifying here: http://login-microsoft-secure.com,1
Your Microsoft 365 password expires today. Retain your current password by verifying here: http://login-microsoft-secure.com,1
You have won a $1000 Walmart gift card! Click the link to claim your prize now. Limited time offer!,1
"Hi Mike, just a reminder that our weekly meeting is at 10 AM tomorrow. Please review the attached agenda. Best, Bob.",0
Act now! Exclusive investment opportunity with 500% returns in 1 week. Send funds to the provided crypto wallet.,1
Act now! Exclusive investment opportunity with 500% returns in 1 week. Send funds to the provided crypto wallet.,1
You have an unread secure message. Click here to read it: http://secure-message-portal.com,1
"Dear Customer, your Apple ID has been locked for security reasons. Click here to unlock: http://apple-support-verify.com.",1
Your Microsoft 365 password expires today. Retain your current password by verifying here: http://login-microsoft-secure.com,1
The project deadline has been extended to next Friday. Please adjust your schedules accordingly.,0
Here are the meeting notes from yesterday's sync.,0
Your Microsoft 365 password expires today. Retain your current password by verifying here: http://login-microsoft-secure.com,1
Let's grab lunch later today. Are you free around 1 PM?,0
Your package could not be delivered due to an unpaid shipping fee. Pay $1.99 here: http://post-office-pay.com,1
"Dear Customer, your Apple ID has been locked for security reasons. Click here to unlock: http://apple-support-verify.com.",1
Please find the attached invoice for your records.,0
Let's grab lunch later today. Are you free around 12 PM?,0
Your package could not be delivered due to an unpaid shipping fee. Pay $1.99 here: http://post-office-pay.com,1
The project deadline has been extended to next Friday. Please adjust your schedules accordingly.,0
URGENT: Your bank account will be suspended in 24 hours. Verify your information immediately at http://secure-update-bank.com/login.,1
Invoice #49281 attached. Please pay immediately to avoid late fees.,1
